Name,Country,Salary_Currency,Monthly_Salary,Date_Of_Payment
Ronald Mathis,Germany,EUR,14533.28,2015-03-02
Ronald Mathis,Germany,EUR,14361.2,2015-04-01
Ronald Mathis,Germany,EUR,14191.17,2015-05-01
Ronald Mathis,Germany,EUR,14023.14,2015-05-31
Ronald Mathis,Germany,EUR,13857.11,2015-06-30
Ronald Mathis,Germany,EUR,13693.04,2015-07-30
Ronald Mathis,Germany,EUR,13530.92,2015-08-29
Ronald Mathis,Germany,EUR,13370.71,2015-09-28
Ronald Mathis,Germany,EUR,13212.4,2015-10-28
Ronald Mathis,Germany,EUR,13055.97,2015-11-27
Ronald Mathis,Germany,EUR,12901.39,2015-12-27
Ronald Mathis,Germany,EUR,12748.64,2016-01-26
Ronald Mathis,Germany,EUR,12698.96,2016-02-25
Ronald Mathis,Germany,EUR,12649.48,2016-03-26
Ronald Mathis,Germany,EUR,12600.2,2016-04-25
Ronald Mathis,Germany,EUR,12551.1,2016-05-25
Ronald Mathis,Germany,EUR,12502.2,2016-06-24
Ronald Mathis,Germany,EUR,12453.49,2016-07-24
Ronald Mathis,Germany,EUR,12404.96,2016-08-23
Ronald Mathis,Germany,EUR,12356.63,2016-09-22
Ronald Mathis,Germany,EUR,12308.48,2016-10-22
Ronald Mathis,Germany,EUR,12260.53,2016-11-21
Ronald Mathis,Germany,EUR,12212.76,2016-12-21
Ronald Mathis,Germany,EUR,12165.17,2017-01-20
Ronald Mathis,Germany,EUR,11338.4,2017-02-19
Ronald Mathis,Germany,EUR,10567.82,2017-03-21
Ronald Mathis,Germany,EUR,9849.61,2017-04-20
Ronald Mathis,Germany,EUR,9180.21,2017-05-20
Ronald Mathis,Germany,EUR,8556.31,2017-06-19
Ronald Mathis,Germany,EUR,7974.81,2017-07-19
Ronald Mathis,Germany,EUR,7432.82,2017-08-18
Ronald Mathis,Germany,EUR,6927.67,2017-09-17
Ronald Mathis,Germany,EUR,6456.86,2017-10-17
Ronald Mathis,Germany,EUR,6018.04,2017-11-16
Ronald Mathis,Germany,EUR,5609.04,2017-12-16
Ronald Mathis,Germany,EUR,5227.84,2018-01-15
Sheri Stone,Poland,PLN,6942.88,2015-03-02
Sheri Stone,Poland,PLN,6400.2,2015-04-01
Sheri Stone,Poland,PLN,5899.94,2015-05-01
Sheri Stone,Poland,PLN,5438.78,2015-05-31
Sheri Stone,Poland,PLN,5013.67,2015-06-30
Sheri Stone,Poland,PLN,4621.78,2015-07-30
Sheri Stone,Poland,PLN,4260.53,2015-08-29
Sheri Stone,Poland,PLN,3927.51,2015-09-28
Sheri Stone,Poland,PLN,3620.53,2015-10-28
Sheri Stone,Poland,PLN,3337.53,2015-11-27
Sheri Stone,Poland,PLN,3076.66,2015-12-27
Sheri Stone,Poland,PLN,2836.18,2016-01-26
Sheri Stone,Poland,PLN,3093.13,2016-02-25
Sheri Stone,Poland,PLN,3373.37,2016-03-26
Sheri Stone,Poland,PLN,3678.99,2016-04-25
Sheri Stone,Poland,PLN,4012.3,2016-05-25
Sheri Stone,Poland,PLN,4375.81,2016-06-24
Sheri Stone,Poland,PLN,4772.25,2016-07-24
Sheri Stone,Poland,PLN,5204.61,2016-08-23
Sheri Stone,Poland,PLN,5676.14,2016-09-22
Sheri Stone,Poland,PLN,6190.39,2016-10-22
Sheri Stone,Poland,PLN,6751.23,2016-11-21
Sheri Stone,Poland,PLN,7362.89,2016-12-21
Sheri Stone,Poland,PLN,8029.95,2017-01-20
Sheri Stone,Poland,PLN,7461.87,2017-02-19
Sheri Stone,Poland,PLN,6933.97,2017-03-21
Sheri Stone,Poland,PLN,6443.42,2017-04-20
Sheri Stone,Poland,PLN,5987.58,2017-05-20
Sheri Stone,Poland,PLN,5563.98,2017-06-19
Sheri Stone,Poland,PLN,5170.35,2017-07-19
Sheri Stone,Poland,PLN,4804.57,2017-08-18
Sheri Stone,Poland,PLN,4464.67,2017-09-17
Sheri Stone,Poland,PLN,4148.81,2017-10-17
Sheri Stone,Poland,PLN,3855.3,2017-11-16
Sheri Stone,Poland,PLN,3582.56,2017-12-16
Sheri Stone,Poland,PLN,3329.1,2018-01-15
Jamie Alvarez,USA,USD,16675.79,2015-03-02
Jamie Alvarez,USA,USD,16700.64,2015-04-01
Jamie Alvarez,USA,USD,16725.52,2015-05-01
Jamie Alvarez,USA,USD,16750.45,2015-05-31
Jamie Alvarez,USA,USD,16775.4,2015-06-30
Jamie Alvarez,USA,USD,16800.4,2015-07-30
Jamie Alvarez,USA,USD,16825.43,2015-08-29
Jamie Alvarez,USA,USD,16850.51,2015-09-28
Jamie Alvarez,USA,USD,16875.61,2015-10-28
Jamie Alvarez,USA,USD,16900.76,2015-11-27
Jamie Alvarez,USA,USD,16925.94,2015-12-27
Jamie Alvarez,USA,USD,16951.16,2016-01-26
Jamie Alvarez,USA,USD,17121.87,2016-02-25
Jamie Alvarez,USA,USD,17294.31,2016-03-26
Jamie Alvarez,USA,USD,17468.47,2016-04-25
Jamie Alvarez,USA,USD,17644.4,2016-05-25
Jamie Alvarez,USA,USD,17822.09,2016-06-24
Jamie Alvarez,USA,USD,18001.57,2016-07-24
Jamie Alvarez,USA,USD,18182.86,2016-08-23
Jamie Alvarez,USA,USD,18365.98,2016-09-22
Jamie Alvarez,USA,USD,18550.94,2016-10-22
Jamie Alvarez,USA,USD,18737.76,2016-11-21
Jamie Alvarez,USA,USD,18926.47,2016-12-21
Jamie Alvarez,USA,USD,19117.07,2017-01-20
Jamie Alvarez,USA,USD,19386.75,2017-02-19
Jamie Alvarez,USA,USD,19660.24,2017-03-21
Jamie Alvarez,USA,USD,19937.58,2017-04-20
Jamie Alvarez,USA,USD,20218.83,2017-05-20
Jamie Alvarez,USA,USD,20504.06,2017-06-19
Jamie Alvarez,USA,USD,20793.3,2017-07-19
Jamie Alvarez,USA,USD,21086.63,2017-08-18
Jamie Alvarez,USA,USD,21384.09,2017-09-17
Jamie Alvarez,USA,USD,21685.75,2017-10-17
Jamie Alvarez,USA,USD,21991.67,2017-11-16
Jamie Alvarez,USA,USD,22301.9,2017-12-16
Jamie Alvarez,USA,USD,22616.51,2018-01-15
Joshua Johnson,USA,USD,4369.1,2015-03-02
Joshua Johnson,USA,USD,4697.74,2015-04-01
Joshua Johnson,USA,USD,5051.11,2015-05-01
Joshua Johnson,USA,USD,5431.05,2015-05-31
Joshua Johnson,USA,USD,5839.57,2015-06-30
Joshua Johnson,USA,USD,6278.82,2015-07-30
Joshua Johnson,USA,USD,6751.11,2015-08-29
Joshua Johnson,USA,USD,7258.93,2015-09-28
Joshua Johnson,USA,USD,7804.95,2015-10-28
Joshua Johnson,USA,USD,8392.03,2015-11-27
Joshua Johnson,USA,USD,9023.28,2015-12-27
Joshua Johnson,USA,USD,9702.01,2016-01-26
Joshua Johnson,USA,USD,10519.14,2016-02-25
Joshua Johnson,USA,USD,11405.1,2016-03-26
Joshua Johnson,USA,USD,12365.68,2016-04-25
Joshua Johnson,USA,USD,13407.16,2016-05-25
Joshua Johnson,USA,USD,14536.35,2016-06-24
Joshua Johnson,USA,USD,15760.66,2016-07-24
Joshua Johnson,USA,USD,17088.07,2016-08-23
Joshua Johnson,USA,USD,18527.29,2016-09-22
Joshua Johnson,USA,USD,20087.72,2016-10-22
Joshua Johnson,USA,USD,21779.58,2016-11-21
Joshua Johnson,USA,USD,23613.93,2016-12-21
Joshua Johnson,USA,USD,25602.78,2017-01-20
Joshua Johnson,USA,USD,24990.84,2017-02-19
Joshua Johnson,USA,USD,24393.53,2017-03-21
Joshua Johnson,USA,USD,23810.5,2017-04-20
Joshua Johnson,USA,USD,23241.4,2017-05-20
Joshua Johnson,USA,USD,22685.9,2017-06-19
Joshua Johnson,USA,USD,22143.68,2017-07-19
Joshua Johnson,USA,USD,21614.42,2017-08-18
Joshua Johnson,USA,USD,21097.81,2017-09-17
Joshua Johnson,USA,USD,20593.55,2017-10-17
Joshua Johnson,USA,USD,20101.34,2017-11-16
Joshua Johnson,USA,USD,19620.9,2017-12-16
Joshua Johnson,USA,USD,19151.93,2018-01-15
Lee Morales,Poland,PLN,8835.15,2015-03-02
Lee Morales,Poland,PLN,8233.4,2015-04-01
Lee Morales,Poland,PLN,7672.63,2015-05-01
Lee Morales,Poland,PLN,7150.06,2015-05-31
Lee Morales,Poland,PLN,6663.08,2015-06-30
Lee Morales,Poland,PLN,6209.26,2015-07-30
Lee Morales,Poland,PLN,5786.36,2015-08-29
Lee Morales,Poland,PLN,5392.26,2015-09-28
Lee Morales,Poland,PLN,5025.0,2015-10-28
Lee Morales,Poland,PLN,4682.75,2015-11-27
Lee Morales,Poland,PLN,4363.81,2015-12-27
Lee Morales,Poland,PLN,4066.6,2016-01-26
Lee Morales,Poland,PLN,4245.73,2016-02-25
Lee Morales,Poland,PLN,4432.74,2016-03-26
Lee Morales,Poland,PLN,4627.99,2016-04-25
Lee Morales,Poland,PLN,4831.85,2016-05-25
Lee Morales,Poland,PLN,5044.68,2016-06-24
Lee Morales,Poland,PLN,5266.89,2016-07-24
Lee Morales,Poland,PLN,5498.89,2016-08-23
Lee Morales,Poland,PLN,5741.1,2016-09-22
Lee Morales,Poland,PLN,5993.98,2016-10-22
Lee Morales,Poland,PLN,6258.01,2016-11-21
